1.738188	0.814702
1.659018	0.82808
1.580047	0.840482
1.501356	0.851855
1.423022	0.862148
1.345126	0.871309
1.267746	0.87929
1.190958	0.886043
1.114842	0.891525
1.039473	0.895692
0.964927	0.898505
0.89128	        0.899927
0.818605	0.899927
0.746976	0.898473
0.676465	0.895543
0.607143	0.891112
0.539079	0.885166
0.472343	0.877692
0.407001	0.868681
0.343119	0.858131
0.280761	0.846043
0.219991	0.832422
0.160869	0.817281
0.103456	0.800634
0.047808	0.782502
-0.006018	0.762907
-0.057968	0.741879
-0.10799	0.719449
-0.156033	0.695652
-0.202049	0.670527
-0.245991	0.644115
-0.287816	0.616458
-0.327481	0.587603
-0.364946	0.557596
-0.400173	0.526484
-0.433128	0.494316
-0.463777	0.46114
-0.492089	0.427003
-0.518035	0.391953
-0.54159	0.356035
-0.562729	0.319292
-0.581432	0.281767
-0.597679	0.243496
-0.611454	0.204517
-0.622744	0.164862
-0.631537	0.12456
-0.637824	0.083635
-0.641598	0.04211
-0.642857	0
-0.641598	-0.04211
-0.637824	-0.083635
-0.631537	-0.12456
-0.622744	-0.164862
-0.611454	-0.204517
-0.597679	-0.243496
-0.581432	-0.281767
-0.562729	-0.319292
-0.54159	-0.356035
-0.518035	-0.391953
-0.492089	-0.427003
-0.463777	-0.46114
-0.433128	-0.494316
-0.400173	-0.526484
-0.364946	-0.557596
-0.327481	-0.587603
-0.287816	-0.616458
-0.245991	-0.644115
-0.202049	-0.670527
-0.156033	-0.695652
-0.10799	-0.719449
-0.057968	-0.741879
-0.006018	-0.762907
0.047808	-0.782502
0.103456	-0.800634
0.160869	-0.817281
0.219991	-0.832422
0.280761	-0.846043
0.343119	-0.858131
0.407001	-0.868681
0.472343	-0.877692
0.539079	-0.885166
0.607143	-0.891112
0.676465	-0.895543
0.746976	-0.898473
0.818605	-0.899927
0.89128	        -0.899927
0.964927	-0.898505
1.039473	-0.895692
1.114842	-0.891525
1.190958	-0.886043
1.267746	-0.87929
1.345126	-0.871309
1.423022	-0.862148
1.501356	-0.851855
1.580047	-0.840482
1.659018	-0.82808
1.738188	-0.814702
2.738188	0.814702
2.738188	-0.814702
