WITNESS_POINTS, NUMBER=1830
10.750000,11.750000,0.366519
10.750000,12.250000,0.366519
10.750000,12.750000,0.366519
10.750000,13.250000,0.366519
12.750000,11.750000,0.366519
12.750000,12.250000,0.366519
12.750000,12.750000,0.366519
12.750000,13.250000,0.366519
15.750000,11.750000,0.366519
15.750000,12.250000,0.366519
15.750000,12.750000,0.366519
15.750000,13.250000,0.366519
6.250000,12.500000,0.366519
6.750000,12.500000,0.366519
7.250000,12.500000,0.366519
7.750000,12.500000,0.366519
8.250000,12.500000,0.366519
8.750000,12.500000,0.366519
9.250000,12.500000,0.366519
9.750000,12.500000,0.366519
10.250000,12.500000,0.366519
10.750000,12.500000,0.366519
11.250000,12.500000,0.366519
11.750000,12.500000,0.366519
12.250000,12.500000,0.366519
12.750000,12.500000,0.366519
13.250000,12.500000,0.366519
13.750000,12.500000,0.366519
14.250000,12.500000,0.366519
14.750000,12.500000,0.366519
15.250000,12.500000,0.366519
15.750000,12.500000,0.366519
6.750000,12.500000,0.471239
6.633022,12.821394,0.471239
6.336824,12.992404,0.471239
6.000000,12.933013,0.471239
5.780154,12.671010,0.471239
5.780154,12.328990,0.471239
6.000000,12.066987,0.471239
6.336824,12.007596,0.471239
6.633022,12.178606,0.471239
6.810000,11.750000,0.471239
6.810000,12.250000,0.471239
6.810000,12.750000,0.471239
6.810000,13.250000,0.471239
7.290000,11.750000,0.471239
7.290000,12.250000,0.471239
7.290000,12.750000,0.471239
7.290000,13.250000,0.471239
7.770000,11.750000,0.471239
7.770000,12.250000,0.471239
7.770000,12.750000,0.471239
7.770000,13.250000,0.471239
8.750000,11.750000,0.471239
8.750000,12.250000,0.471239
8.750000,12.750000,0.471239
8.750000,13.250000,0.471239
9.750000,11.750000,0.471239
9.750000,12.250000,0.471239
9.750000,12.750000,0.471239
9.750000,13.250000,0.471239
10.750000,11.750000,0.471239
10.750000,12.250000,0.471239
10.750000,12.750000,0.471239
10.750000,13.250000,0.471239
12.750000,11.750000,0.471239
12.750000,12.250000,0.471239
