WITNESS_POINTS, NUMBER=2745
10.750000,11.750000,0.244346
10.750000,12.250000,0.244346
10.750000,12.750000,0.244346
10.750000,13.250000,0.244346
12.750000,11.750000,0.244346
12.750000,12.250000,0.244346
12.750000,12.750000,0.244346
12.750000,13.250000,0.244346
15.750000,11.750000,0.244346
15.750000,12.250000,0.244346
15.750000,12.750000,0.244346
15.750000,13.250000,0.244346
6.250000,12.500000,0.244346
6.750000,12.500000,0.244346
7.250000,12.500000,0.244346
7.750000,12.500000,0.244346
8.250000,12.500000,0.244346
8.750000,12.500000,0.244346
9.250000,12.500000,0.244346
9.750000,12.500000,0.244346
10.250000,12.500000,0.244346
10.750000,12.500000,0.244346
11.250000,12.500000,0.244346
11.750000,12.500000,0.244346
12.250000,12.500000,0.244346
12.750000,12.500000,0.244346
13.250000,12.500000,0.244346
13.750000,12.500000,0.244346
14.250000,12.500000,0.244346
14.750000,12.500000,0.244346
15.250000,12.500000,0.244346
15.750000,12.500000,0.244346
6.750000,12.500000,0.314159
6.633022,12.821394,0.314159
6.336824,12.992404,0.314159
6.000000,12.933013,0.314159
5.780154,12.671010,0.314159
5.780154,12.328990,0.314159
6.000000,12.066987,0.314159
6.336824,12.007596,0.314159
6.633022,12.178606,0.314159
6.810000,11.750000,0.314159
6.810000,12.250000,0.314159
6.810000,12.750000,0.314159
6.810000,13.250000,0.314159
7.290000,11.750000,0.314159
7.290000,12.250000,0.314159
7.290000,12.750000,0.314159
7.290000,13.250000,0.314159
7.770000,11.750000,0.314159
7.770000,12.250000,0.314159
7.770000,12.750000,0.314159
7.770000,13.250000,0.314159
8.750000,11.750000,0.314159
8.750000,12.250000,0.314159
8.750000,12.750000,0.314159
8.750000,13.250000,0.314159
9.750000,11.750000,0.314159
9.750000,12.250000,0.314159
9.750000,12.750000,0.314159
9.750000,13.250000,0.314159
10.750000,11.750000,0.314159
10.750000,12.250000,0.314159
10.750000,12.750000,0.314159
10.750000,13.250000,0.314159
12.750000,11.750000,0.314159
12.750000,12.250000,0.314159
12.750000,12.750000,0.314159
12.750000,13.250000,0.314159
15.750000,11.750000,0.314159
15.750000,12.250000,0.314159
15.750000,12.750000,0.314159
15.750000,13.250000,0.314159
6.250000,12.500000,0.314159
6.750000,12.500000,0.314159
7.250000,12.500000,0.314159
7.750000,12.500000,0.314159
8.250000,12.500000,0.314159
8.750000,12.500000,0.314159
9.250000,12.500000,0.314159
9.750000,12.500000,0.314159
10.250000,12.500000,0.314159
10.750000,12.500000,0.314159
11.250000,12.500000,0.314159
11.750000,12.500000,0.314159
12.250000,12.500000,0.314159
12.750000,12.500000,0.314159
13.250000,12.500000,0.314159
13.750000,12.500000,0.314159
14.250000,12.500000,0.314159
14.750000,12.500000,0.314159
15.250000,12.500000,0.314159
15.750000,12.500000,0.314159
6.750000,12.500000,0.383972
6.633022,12.821394,0.383972
6.336824,12.992404,0.383972
6.000000,12.933013,0.383972
5.780154,12.671010,0.383972
5.780154,12.328990,0.383972
6.000000,12.066987,0.383972
6.336824,12.007596,0.383972
6.633022,12.178606,0.383972
6.810000,11.750000,0.383972
6.810000,12.250000,0.383972
6.810000,12.750000,0.383972
6.810000,13.250000,0.383972
7.290000,11.750000,0.383972
7.290000,12.250000,0.383972
7.290000,12.750000,0.383972
7.290000,13.250000,0.383972
7.770000,11.750000,0.383972
7.770000,12.250000,0.383972
7.770000,12.750000,0.383972
7.770000,13.250000,0.383972
8.750000,11.750000,0.383972
8.750000,12.250000,0.383972
8.750000,12.750000,0.383972
8.750000,13.250000,0.383972
9.750000,11.750000,0.383972
9.750000,12.250000,0.383972
9.750000,12.750000,0.383972
9.750000,13.250000,0.383972
10.750000,11.750000,0.383972
10.750000,12.250000,0.383972
10.750000,12.750000,0.383972
10.750000,13.250000,0.383972
12.750000,11.750000,0.383972
12.750000,12.250000,0.383972
12.750000,12.750000,0.383972
12.750000,13.250000,0.383972
15.750000,11.750000,0.383972
15.750000,12.250000,0.383972
15.750000,12.750000,0.383972
15.750000,13.250000,0.383972
6.250000,12.500000,0.383972
6.750000,12.500000,0.383972
7.250000,12.500000,0.383972
7.750000,12.500000,0.383972
8.250000,12.500000,0.383972
8.750000,12.500000,0.383972
9.250000,12.500000,0.383972
9.750000,12.500000,0.383972
10.250000,12.500000,0.383972
10.750000,12.500000,0.383972
11.250000,12.500000,0.383972
11.750000,12.500000,0.383972
12.250000,12.500000,0.383972
12.750000,12.500000,0.383972
13.250000,12.500000,0.383972
13.750000,12.500000,0.383972
14.250000,12.500000,0.383972
14.750000,12.500000,0.383972
15.250000,12.500000,0.383972
15.750000,12.500000,0.383972
6.750000,12.500000,0.453786
6.633022,12.821394,0.453786
6.336824,12.992404,0.453786
6.000000,12.933013,0.453786
5.780154,12.671010,0.453786
5.780154,12.328990,0.453786
6.000000,12.066987,0.453786
6.336824,12.007596,0.453786
6.633022,12.178606,0.453786
6.810000,11.750000,0.453786
6.810000,12.250000,0.453786
6.810000,12.750000,0.453786
6.810000,13.250000,0.453786
7.290000,11.750000,0.453786
7.290000,12.250000,0.453786
