y,U_bar,u_prime,V_bar,v_prime,W_bar,w_prime
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24477862,0.2428681114019421,0.3907900232843656,-0.0011056972528695457,0.09649314626334717,-0.01050913248796304,0.24229784318816242
0.4990358,1.0180308943472878,0.4781750648208768,0.000750750259957603,0.0937807545520667,-0.04525706290155863,0.22860741508188712
0.76312,1.4234637718166618,0.615446800216791,0.0010562518510726184,0.10015646574266411,-0.06320164213313458,0.2729017444199314
1.037391,1.9626156020734327,0.7902355932158185,0.0008261547015072052,0.10662686589113128,-0.0872455076269438,0.3428301585590117
1.3222198,2.490380324087147,0.9599355210281003,0.0005540316268499706,0.11814150829583969,-0.11083016954139281,0.4069382799267829
1.6179898,3.042857735462236,1.1400189462228167,0.00043680445874303445,0.1279179778886161,-0.1355324144031532,0.4694361062771609
1.9250962,3.608970963729556,1.329344893475803,0.0002512210633352944,0.137947590116307,-0.16085502575553312,0.5285259629248759
2.2439458,4.192215344883255,1.5265364782338886,-2.892069619807047e-06,0.1485603835406688,-0.18705591400855143,0.5847277722496605
2.5749588,4.789607277500008,1.7281607791201108,-0.00014159242700661882,0.1600940269401371,-0.21392386742194497,0.6381240622117907
2.9185677,5.401132597367833,1.9310260815827949,-0.00024990668128593244,0.17271843043708585,-0.24152714692235255,0.6888212363395342
3.275218,6.023911935492856,2.132188415622361,-0.0005397429268355767,0.18645461595648258,-0.269725648430923,0.7368751335108329
3.6453676,6.655762503904325,2.328594887453454,-0.0004651787379610092,0.20205862658942492,-0.2984398484360569,0.7823666234748174
4.029488,7.294085376833526,2.5180748017953523,-0.0006977424137796897,0.2194762441096514,-0.32756592935560364,0.825567023793462
4.4280653,7.93611519702414,2.6987138638206822,-0.0007054859895528194,0.23866732952450598,-0.35697786361014655,0.8667080817358888
4.841596,8.578462684724663,2.8682603498498933,-0.0008271013739836241,0.2597107888350002,-0.38657297537119456,0.9059714434634695
5.270593,9.217989092119351,3.025432934318721,-0.0008886700872219003,0.2823743432784229,-0.41624827218327676,0.9435921658188087
5.7155824,9.851356616305324,3.1688805038053416,-0.0011899749810524115,0.30662478524708253,-0.44587922144609504,0.97975375747247
6.177102,10.475217877506532,3.2972322201969493,-0.0013347071800635481,0.33228522504688357,-0.47533229001525973,1.0145689832251652
6.655706,11.087006474708843,3.4101366595060685,-0.0014802205674336439,0.3592301270237311,-0.5045434698686467,1.0481695297118756
7.15196,11.68411652044817,3.507330412072382,-0.0015763294532361246,0.38727468145079375,-0.5335035882906809,1.0805601212383131
7.6664443,12.264558663916638,3.589055234421085,-0.0015233241815842213,0.41618941878782145,-0.5620405397758875,1.111697124165796
8.199754,12.826532803706476,3.6556785537079572,-0.0015999776338378952,0.44577926472181106,-0.5901193043832269,1.141451124389587
8.752494,13.368047018881756,3.7075227805717916,-0.001735726672587179,0.47592144877128584,-0.617914511688365,1.1696066088357944
9.325285,13.887945606623507,3.7451629138563334,-0.001977689306305942,0.5065235671099086,-0.6454646420798771,1.1959829813412526
9.918761,14.384835612593665,3.769218081647642,-0.002081895326189826,0.5373743899607394,-0.6727971830327992,1.2202750535209712
10.533567,14.85840749901791,3.7805260876264044,-0.002038078029980906,0.5685232172655058,-0.6998666497128859,1.2423609621440102
11.170363,15.30778516059592,3.7795863999507944,-0.002212744082425046,0.599772439421399,-0.7267241910942364,1.26199745905562
11.829818,15.73237627631402,3.7672910789306386,-0.0021185742233246416,0.6308801163228893,-0.753633060516984,1.2790209971240887
12.51261,16.133119375148347,3.745227843240975,-0.002231848891882951,0.6618637187163018,-0.7804878181133124,1.2936246606728334
13.219437,16.510689215106368,3.7149663311740313,-0.0023028438201492516,0.6926444669241947,-0.8072181832859914,1.3059360728871519
13.950997,16.865987690638224,3.677839491785567,-0.002288579648962753,0.7230923838740679,-0.834409936214879,1.3162702939752433
