Parameter,Value
u_tau,0.04871566388520865
delta_tau,0.007280998149274599
Re_tau,137.343806370783
t_tau,0.14945907678547107
t_i,891.744
t_i_plus,5966.47603597861
t_f,1376.61
t_f_plus,9210.614902806761
U_b,0.8975133576311723
t_w,2.974886086427719
t_w_plus,19.9043520835993
