Parameter,Value
u_tau,0.05664456168757957
delta_tau,0.006261830756943826
Re_tau,159.69770484312227
t_tau,0.11054601837120145
t_i,891.744
t_i_plus,8066.722014406897
t_f,1376.61
t_f_plus,12452.822998812077
U_b,0.8728124049350465
t_w,3.059076595272151
t_w_plus,27.6724267444903
