WITNESS_POINTS, NUMBER=453
2.939693,1.657980,3.000000
2.984808,1.826352,1.000000
2.984808,1.826352,2.050000
2.984808,1.826352,3.000000
2.750000,0.500000,1.000000
2.750000,0.500000,2.050000
2.750000,0.500000,3.000000
2.750000,1.000000,1.000000
2.750000,1.000000,2.050000
2.750000,1.000000,3.000000
2.750000,1.500000,1.000000
2.750000,1.500000,2.050000
2.750000,1.500000,3.000000
2.750000,2.000000,1.000000
2.750000,2.000000,2.050000
2.750000,2.000000,3.000000
2.750000,2.500000,1.000000
2.750000,2.500000,2.050000
2.750000,2.500000,3.000000
2.750000,3.000000,1.000000
2.750000,3.000000,2.050000
2.750000,3.000000,3.000000
2.750000,3.500000,1.000000
2.750000,3.500000,2.050000
2.750000,3.500000,3.000000
3.000000,0.500000,1.000000
3.000000,0.500000,2.050000
3.000000,0.500000,3.000000
3.000000,1.000000,1.000000
3.000000,1.000000,2.050000
3.000000,1.000000,3.000000
3.000000,1.500000,1.000000
3.000000,1.500000,2.050000
3.000000,1.500000,3.000000
3.000000,2.000000,1.000000
3.000000,2.000000,2.050000
3.000000,2.000000,3.000000
3.000000,2.500000,1.000000
3.000000,2.500000,2.050000
3.000000,2.500000,3.000000
3.000000,3.000000,1.000000
3.000000,3.000000,2.050000
3.000000,3.000000,3.000000
3.000000,3.500000,1.000000
3.000000,3.500000,2.050000
3.000000,3.500000,3.000000
3.500000,0.500000,1.000000
3.500000,0.500000,2.050000
3.500000,0.500000,3.000000
3.500000,1.000000,1.000000
3.500000,1.000000,2.050000
3.500000,1.000000,3.000000
3.500000,1.500000,1.000000
3.500000,1.500000,2.050000
3.500000,1.500000,3.000000
3.500000,2.000000,1.000000
3.500000,2.000000,2.050000
3.500000,2.000000,3.000000
3.500000,2.500000,1.000000
3.500000,2.500000,2.050000
3.500000,2.500000,3.000000
3.500000,3.000000,1.000000
3.500000,3.000000,2.050000
3.500000,3.000000,3.000000
3.500000,3.500000,1.000000
3.500000,3.500000,2.050000
3.500000,3.500000,3.000000
4.000000,0.500000,1.000000
4.000000,0.500000,2.050000
4.000000,0.500000,3.000000
4.000000,1.000000,1.000000
4.000000,1.000000,2.050000
4.000000,1.000000,3.000000
4.000000,1.500000,1.000000
4.000000,1.500000,2.050000
4.000000,1.500000,3.000000
4.000000,2.000000,1.000000
4.000000,2.000000,2.050000
4.000000,2.000000,3.000000
4.000000,2.500000,1.000000
4.000000,2.500000,2.050000
4.000000,2.500000,3.000000
4.000000,3.000000,1.000000
4.000000,3.000000,2.050000
4.000000,3.000000,3.000000
4.000000,3.500000,1.000000
4.000000,3.500000,2.050000
4.000000,3.500000,3.000000
4.500000,0.500000,1.000000
4.500000,0.500000,2.050000
4.500000,0.500000,3.000000
4.500000,1.000000,1.000000
4.500000,1.000000,2.050000
4.500000,1.000000,3.000000
4.500000,1.500000,1.000000
4.500000,1.500000,2.050000
4.500000,1.500000,3.000000
4.500000,2.000000,1.000000
4.500000,2.000000,2.050000
4.500000,2.000000,3.000000
4.500000,2.500000,1.000000
4.500000,2.500000,2.050000
4.500000,2.500000,3.000000
4.500000,3.000000,1.000000
4.500000,3.000000,2.050000
4.500000,3.000000,3.000000
4.500000,3.500000,1.000000
4.500000,3.500000,2.050000
4.500000,3.500000,3.000000
5.000000,0.500000,1.000000
5.000000,0.500000,2.050000
5.000000,0.500000,3.000000
5.000000,1.000000,1.000000
5.000000,1.000000,2.050000
5.000000,1.000000,3.000000
