y,U_bar,u_prime,V_bar,v_prime,W_bar,w_prime
0.4413841,5.016142023040041,0.6304680939252699,-0.02300950709483424,0.09430374212261823,-0.02339912370243928,0.08235014316580871
0.4563819,5.0649203027998055,0.6067694200705722,-0.023027271251597717,0.09220460919000366,-0.019092534223585665,0.08156450590903766
0.4716932,5.11301809260598,0.5879164227501582,-0.022754862965152077,0.09032500973487802,-0.01497049436655853,0.0802178579374962
0.48731545,5.161120337682204,0.571802257812259,-0.022483575482297014,0.0888844247344925,-0.010934228913073567,0.07827990652063926
0.50324553,5.152604086326516,0.545886261501057,-0.008943456895320405,0.0837519828883535,-0.0015049726204565703,0.07308670038522967
0.5194796,5.263627707732788,0.5514878038913489,-0.019251640493468843,0.08334579361721023,-0.0027799358897434767,0.07266064240334265
0.53601325,5.303021656614781,0.547400000058612,-0.018839726775985846,0.08177582864430924,-0.0005806808500497686,0.07026399350936585
0.5528415,5.3323855589859015,0.5449937249610504,-0.019472414814740588,0.0796664146480456,0.0007126503242297506,0.06821375069462039
0.5699585,5.3632355778229,0.5378034344661411,-0.02064018358520763,0.07760239807318735,0.0008993944997940781,0.06643652365592469
0.587358,5.387501686516277,0.5287114499792326,-0.02063691132894687,0.07638846160201762,0.0015175403980080126,0.06466833219998123
0.60503286,5.415356697104504,0.5129526628365224,-0.020063394224565965,0.07439195595220778,0.0022031892893052854,0.0631118509011563
0.6229754,5.44232425999708,0.49179935166745037,-0.018273269909287182,0.07096019170214303,0.0036673763543290704,0.061098660678696744
0.64117724,5.467752922076813,0.46820134754689563,-0.01534526245891842,0.06832534199002804,0.004242074281451736,0.05879248250878874
0.65962934,5.501212859401025,0.4399250142915686,-0.013082267438098686,0.067036648852167,0.005523325490131963,0.0560815328598207
0.678322,5.536430660894322,0.41293732078265644,-0.01002867929825935,0.06619528725893048,0.008433275423073927,0.05346353769334289
0.6972449,5.571281908857127,0.38721126143344237,-0.00585274321297782,0.0648258518305206,0.0111079146106835,0.051300291095099294
0.7163871,5.605414248184405,0.36445232131088756,-0.003076570823354001,0.06522255127630235,0.013886553057360237,0.050398857184421685
0.73573697,5.634981771104552,0.3435020792403214,-0.0008609140552395824,0.0662521956735721,0.015309745311336113,0.04935509098492423
0.75528246,5.668152508569048,0.32353270771289017,0.0005901113211823131,0.06692938041859739,0.017623207540317987,0.0495596205899905
0.7750108,5.680143279366223,0.3089494604564962,0.002772111878046578,0.06880549277215757,0.01669817956863007,0.04967591368817806
0.7949088,5.693544129928576,0.28882280971917507,0.005471259405302821,0.0695051612409804,0.016027389459831815,0.04954301500361331
0.81496274,5.706482274947181,0.27113619540028816,0.008295444625926972,0.06976288691058752,0.014513104284898309,0.04858875524065931
0.83515835,5.714835541113993,0.2579061381753784,0.009650181460599356,0.06996677601119405,0.014152719785717707,0.048106160269832436
0.855481,5.725951782126477,0.2506843306404205,0.009169183646205701,0.0698875452167027,0.013811987086861637,0.048505612708707985
0.8759158,5.727296061441743,0.24533894207841672,0.007204069047839816,0.069805393569315,0.013754243230094578,0.049065744309488596
0.8964473,5.72144675399108,0.2463271076014108,0.005223389136014993,0.0695632733001833,0.014067786855896196,0.04963724097944193
0.9170599,5.721225576362846,0.25796147234700784,0.004350669625741145,0.06985070906713475,0.014035248474275884,0.049810686435282435
0.93773764,5.72601996213647,0.26791489076558833,0.005919635064075277,0.07100778253419508,0.01311480049050448,0.049298619191397865
0.95846444,5.731357829096671,0.27586735757175995,0.008556809860774759,0.07225962474260703,0.01362081567889781,0.04817247836008038
0.979224,5.734249175349235,0.2769043153892564,0.01084637460196505,0.0724496333011157,0.0158728977260363,0.0470903237990364
1.0,5.735450448811528,0.2716924693151289,0.017573038704719376,0.07493940321883268,0.01617250848371203,0.046205018125130635
1.020776,5.729499525725403,0.2821641161356789,0.013364111285072294,0.07440779142137142,0.01907956600264927,0.045643813410917604
1.0415356,5.725059749544889,0.28977377111430985,0.01631749018656716,0.07661144255662691,0.02027036313013681,0.045943655572683983
