WITNESS_POINTS, NUMBER=104
0.3337,0.1818,0.1000
1.0012,0.1818,0.1000
0.3337,0.1818,0.3000
1.0012,0.1818,0.3000
0.6675,0.1818,0.2000
0.6675,0.3636,0.2000
0.6675,0.5455,0.2000
0.3337,0.7273,0.1000
1.0012,0.7273,0.1000
0.3337,0.7273,0.3000
1.0012,0.7273,0.3000
0.6675,0.7273,0.2000
0.6675,0.9091,0.2000
0.6675,1.0909,0.2000
0.3337,1.2727,0.1000
1.0012,1.2727,0.1000
0.3337,1.2727,0.3000
1.0012,1.2727,0.3000
0.6675,1.2727,0.2000
0.6675,1.4545,0.2000
0.6675,1.6364,0.2000
0.3337,1.8182,0.1000
1.0012,1.8182,0.1000
0.3337,1.8182,0.3000
1.0012,1.8182,0.3000
0.6675,1.8182,0.2000
0.3337,0.1818,0.5000
1.0012,0.1818,0.5000
0.3337,0.1818,0.7000
1.0012,0.1818,0.7000
0.6675,0.1818,0.6000
0.6675,0.3636,0.6000
0.6675,0.5455,0.6000
0.3337,0.7273,0.5000
1.0012,0.7273,0.5000
0.3337,0.7273,0.7000
1.0012,0.7273,0.7000
0.6675,0.7273,0.6000
0.6675,0.9091,0.6000
0.6675,1.0909,0.6000
0.3337,1.2727,0.5000
1.0012,1.2727,0.5000
0.3337,1.2727,0.7000
1.0012,1.2727,0.7000
0.6675,1.2727,0.6000
0.6675,1.4545,0.6000
0.6675,1.6364,0.6000
0.3337,1.8182,0.5000
1.0012,1.8182,0.5000
0.3337,1.8182,0.7000
1.0012,1.8182,0.7000
0.6675,1.8182,0.6000
1.6687,0.1818,0.1000
2.3362,0.1818,0.1000
1.6687,0.1818,0.3000
2.3362,0.1818,0.3000
2.0025,0.1818,0.2000
2.0025,0.3636,0.2000
2.0025,0.5455,0.2000
1.6687,0.7273,0.1000
2.3362,0.7273,0.1000
1.6687,0.7273,0.3000
2.3362,0.7273,0.3000
2.0025,0.7273,0.2000
2.0025,0.9091,0.2000
2.0025,1.0909,0.2000
1.6687,1.2727,0.1000
2.3362,1.2727,0.1000
1.6687,1.2727,0.3000
2.3362,1.2727,0.3000
2.0025,1.2727,0.2000
2.0025,1.4545,0.2000
2.0025,1.6364,0.2000
1.6687,1.8182,0.1000
2.3362,1.8182,0.1000
1.6687,1.8182,0.3000
2.3362,1.8182,0.3000
2.0025,1.8182,0.2000
1.6687,0.1818,0.5000
2.3362,0.1818,0.5000
1.6687,0.1818,0.7000
2.3362,0.1818,0.7000
2.0025,0.1818,0.6000
2.0025,0.3636,0.6000
2.0025,0.5455,0.6000
1.6687,0.7273,0.5000
2.3362,0.7273,0.5000
1.6687,0.7273,0.7000
2.3362,0.7273,0.7000
2.0025,0.7273,0.6000
2.0025,0.9091,0.6000
2.0025,1.0909,0.6000
1.6687,1.2727,0.5000
2.3362,1.2727,0.5000
1.6687,1.2727,0.7000
2.3362,1.2727,0.7000
2.0025,1.2727,0.6000
2.0025,1.4545,0.6000
2.0025,1.6364,0.6000
1.6687,1.8182,0.5000
2.3362,1.8182,0.5000
1.6687,1.8182,0.7000
2.3362,1.8182,0.7000
2.0025,1.8182,0.6000
END_WITNESS_POINTS
