(0.125, 0.125, 0.125)
(0.375, 0.125, 0.125)
(0.125, 0.125, 0.37500000000000006)
(0.375, 0.125, 0.37500000000000006)
(0.25, 0.125, 0.25)
(0.125, 0.25, 0.125)
(0.375, 0.25, 0.125)
(0.125, 0.25, 0.37500000000000006)
(0.375, 0.25, 0.37500000000000006)
(0.25, 0.25, 0.25)
(0.125, 0.375, 0.125)
(0.375, 0.375, 0.125)
(0.125, 0.375, 0.37500000000000006)
(0.375, 0.375, 0.37500000000000006)
(0.25, 0.375, 0.25)
(0.125, 0.5, 0.125)
(0.375, 0.5, 0.125)
(0.125, 0.5, 0.37500000000000006)
(0.375, 0.5, 0.37500000000000006)
(0.25, 0.5, 0.25)
(0.125, 0.625, 0.125)
(0.375, 0.625, 0.125)
(0.125, 0.625, 0.37500000000000006)
(0.375, 0.625, 0.37500000000000006)
(0.25, 0.625, 0.25)
(0.125, 0.75, 0.125)
(0.375, 0.75, 0.125)
(0.125, 0.75, 0.37500000000000006)
(0.375, 0.75, 0.37500000000000006)
(0.25, 0.75, 0.25)
(0.125, 0.875, 0.125)
(0.375, 0.875, 0.125)
(0.125, 0.875, 0.37500000000000006)
(0.375, 0.875, 0.37500000000000006)
(0.25, 0.875, 0.25)
(0.125, 1.0, 0.125)
(0.375, 1.0, 0.125)
(0.125, 1.0, 0.37500000000000006)
(0.375, 1.0, 0.37500000000000006)
(0.25, 1.0, 0.25)
(0.125, 0.125, 0.6250000000000001)
(0.375, 0.125, 0.6250000000000001)
(0.125, 0.125, 0.875)
(0.375, 0.125, 0.875)
(0.25, 0.125, 0.7500000000000001)
(0.125, 0.25, 0.6250000000000001)
(0.375, 0.25, 0.6250000000000001)
(0.125, 0.25, 0.875)
(0.375, 0.25, 0.875)
(0.25, 0.25, 0.7500000000000001)
(0.125, 0.375, 0.6250000000000001)
(0.375, 0.375, 0.6250000000000001)
(0.125, 0.375, 0.875)
(0.375, 0.375, 0.875)
(0.25, 0.375, 0.7500000000000001)
(0.125, 0.5, 0.6250000000000001)
(0.375, 0.5, 0.6250000000000001)
(0.125, 0.5, 0.875)
(0.375, 0.5, 0.875)
(0.25, 0.5, 0.7500000000000001)
(0.125, 0.625, 0.6250000000000001)
(0.375, 0.625, 0.6250000000000001)
(0.125, 0.625, 0.875)
(0.375, 0.625, 0.875)
(0.25, 0.625, 0.7500000000000001)
(0.125, 0.75, 0.6250000000000001)
(0.375, 0.75, 0.6250000000000001)
(0.125, 0.75, 0.875)
(0.375, 0.75, 0.875)
(0.25, 0.75, 0.7500000000000001)
(0.125, 0.875, 0.6250000000000001)
(0.375, 0.875, 0.6250000000000001)
(0.125, 0.875, 0.875)
(0.375, 0.875, 0.875)
(0.25, 0.875, 0.7500000000000001)
(0.125, 1.0, 0.6250000000000001)
(0.375, 1.0, 0.6250000000000001)
(0.125, 1.0, 0.875)
(0.375, 1.0, 0.875)
(0.25, 1.0, 0.7500000000000001)
(0.625, 0.125, 0.125)
(0.8749999999999999, 0.125, 0.125)
(0.625, 0.125, 0.37500000000000006)
(0.8749999999999999, 0.125, 0.37500000000000006)
(0.75, 0.125, 0.25)
(0.625, 0.25, 0.125)
(0.8749999999999999, 0.25, 0.125)
(0.625, 0.25, 0.37500000000000006)
(0.8749999999999999, 0.25, 0.37500000000000006)
(0.75, 0.25, 0.25)
(0.625, 0.375, 0.125)
(0.8749999999999999, 0.375, 0.125)
(0.625, 0.375, 0.37500000000000006)
(0.8749999999999999, 0.375, 0.37500000000000006)
(0.75, 0.375, 0.25)
(0.625, 0.5, 0.125)
(0.8749999999999999, 0.5, 0.125)
(0.625, 0.5, 0.37500000000000006)
(0.8749999999999999, 0.5, 0.37500000000000006)
(0.75, 0.5, 0.25)
(0.625, 0.625, 0.125)
(0.8749999999999999, 0.625, 0.125)
(0.625, 0.625, 0.37500000000000006)
(0.8749999999999999, 0.625, 0.37500000000000006)
(0.75, 0.625, 0.25)
(0.625, 0.75, 0.125)
(0.8749999999999999, 0.75, 0.125)
(0.625, 0.75, 0.37500000000000006)
(0.8749999999999999, 0.75, 0.37500000000000006)
(0.75, 0.75, 0.25)
(0.625, 0.875, 0.125)
(0.8749999999999999, 0.875, 0.125)
(0.625, 0.875, 0.37500000000000006)
(0.8749999999999999, 0.875, 0.37500000000000006)
(0.75, 0.875, 0.25)
(0.625, 1.0, 0.125)
(0.8749999999999999, 1.0, 0.125)
(0.625, 1.0, 0.37500000000000006)
(0.8749999999999999, 1.0, 0.37500000000000006)
(0.75, 1.0, 0.25)
(0.625, 0.125, 0.6250000000000001)
(0.8749999999999999, 0.125, 0.6250000000000001)
(0.625, 0.125, 0.875)
(0.8749999999999999, 0.125, 0.875)
(0.75, 0.125, 0.7500000000000001)
(0.625, 0.25, 0.6250000000000001)
(0.8749999999999999, 0.25, 0.6250000000000001)
(0.625, 0.25, 0.875)
(0.8749999999999999, 0.25, 0.875)
(0.75, 0.25, 0.7500000000000001)
(0.625, 0.375, 0.6250000000000001)
(0.8749999999999999, 0.375, 0.6250000000000001)
(0.625, 0.375, 0.875)
(0.8749999999999999, 0.375, 0.875)
(0.75, 0.375, 0.7500000000000001)
(0.625, 0.5, 0.6250000000000001)
(0.8749999999999999, 0.5, 0.6250000000000001)
(0.625, 0.5, 0.875)
(0.8749999999999999, 0.5, 0.875)
(0.75, 0.5, 0.7500000000000001)
(0.625, 0.625, 0.6250000000000001)
(0.8749999999999999, 0.625, 0.6250000000000001)
(0.625, 0.625, 0.875)
(0.8749999999999999, 0.625, 0.875)
(0.75, 0.625, 0.7500000000000001)
(0.625, 0.75, 0.6250000000000001)
(0.8749999999999999, 0.75, 0.6250000000000001)
(0.625, 0.75, 0.875)
(0.8749999999999999, 0.75, 0.875)
(0.75, 0.75, 0.7500000000000001)
(0.625, 0.875, 0.6250000000000001)
(0.8749999999999999, 0.875, 0.6250000000000001)
(0.625, 0.875, 0.875)
(0.8749999999999999, 0.875, 0.875)
(0.75, 0.875, 0.7500000000000001)
(0.625, 1.0, 0.6250000000000001)
(0.8749999999999999, 1.0, 0.6250000000000001)
(0.625, 1.0, 0.875)
(0.8749999999999999, 1.0, 0.875)
(0.75, 1.0, 0.7500000000000001)
