WITNESS_POINTS, NUMBER=160
0.3337,0.0952,0.1000
1.0012,0.0952,0.1000
0.3337,0.0952,0.3000
1.0012,0.0952,0.3000
0.6675,0.0952,0.2000
0.6675,0.1905,0.2000
0.6675,0.2857,0.2000
0.6675,0.3810,0.2000
0.3337,0.4762,0.1000
1.0012,0.4762,0.1000
0.3337,0.4762,0.3000
1.0012,0.4762,0.3000
0.6675,0.4762,0.2000
0.6675,0.5714,0.2000
0.6675,0.6667,0.2000
0.6675,0.7619,0.2000
0.3337,0.8571,0.1000
1.0012,0.8571,0.1000
0.3337,0.8571,0.3000
1.0012,0.8571,0.3000
0.6675,0.8571,0.2000
0.6675,0.9524,0.2000
0.6675,1.0476,0.2000
0.6675,1.1429,0.2000
0.3337,1.2381,0.1000
1.0012,1.2381,0.1000
0.3337,1.2381,0.3000
1.0012,1.2381,0.3000
0.6675,1.2381,0.2000
0.6675,1.3333,0.2000
0.6675,1.4286,0.2000
0.6675,1.5238,0.2000
0.3337,1.6190,0.1000
1.0012,1.6190,0.1000
0.3337,1.6190,0.3000
1.0012,1.6190,0.3000
0.6675,1.6190,0.2000
0.6675,1.7143,0.2000
0.6675,1.8095,0.2000
0.6675,1.9048,0.2000
0.3337,0.0952,0.5000
1.0012,0.0952,0.5000
0.3337,0.0952,0.7000
1.0012,0.0952,0.7000
0.6675,0.0952,0.6000
0.6675,0.1905,0.6000
0.6675,0.2857,0.6000
0.6675,0.3810,0.6000
0.3337,0.4762,0.5000
1.0012,0.4762,0.5000
0.3337,0.4762,0.7000
1.0012,0.4762,0.7000
0.6675,0.4762,0.6000
0.6675,0.5714,0.6000
0.6675,0.6667,0.6000
0.6675,0.7619,0.6000
0.3337,0.8571,0.5000
1.0012,0.8571,0.5000
0.3337,0.8571,0.7000
1.0012,0.8571,0.7000
0.6675,0.8571,0.6000
0.6675,0.9524,0.6000
0.6675,1.0476,0.6000
0.6675,1.1429,0.6000
0.3337,1.2381,0.5000
1.0012,1.2381,0.5000
0.3337,1.2381,0.7000
1.0012,1.2381,0.7000
0.6675,1.2381,0.6000
0.6675,1.3333,0.6000
0.6675,1.4286,0.6000
0.6675,1.5238,0.6000
0.3337,1.6190,0.5000
1.0012,1.6190,0.5000
0.3337,1.6190,0.7000
1.0012,1.6190,0.7000
0.6675,1.6190,0.6000
0.6675,1.7143,0.6000
0.6675,1.8095,0.6000
0.6675,1.9048,0.6000
1.6687,0.0952,0.1000
2.3362,0.0952,0.1000
1.6687,0.0952,0.3000
2.3362,0.0952,0.3000
2.0025,0.0952,0.2000
2.0025,0.1905,0.2000
2.0025,0.2857,0.2000
2.0025,0.3810,0.2000
1.6687,0.4762,0.1000
2.3362,0.4762,0.1000
1.6687,0.4762,0.3000
2.3362,0.4762,0.3000
2.0025,0.4762,0.2000
2.0025,0.5714,0.2000
2.0025,0.6667,0.2000
2.0025,0.7619,0.2000
1.6687,0.8571,0.1000
2.3362,0.8571,0.1000
1.6687,0.8571,0.3000
2.3362,0.8571,0.3000
2.0025,0.8571,0.2000
2.0025,0.9524,0.2000
2.0025,1.0476,0.2000
2.0025,1.1429,0.2000
1.6687,1.2381,0.1000
2.3362,1.2381,0.1000
1.6687,1.2381,0.3000
2.3362,1.2381,0.3000
2.0025,1.2381,0.2000
2.0025,1.3333,0.2000
2.0025,1.4286,0.2000
2.0025,1.5238,0.2000
1.6687,1.6190,0.1000
2.3362,1.6190,0.1000
1.6687,1.6190,0.3000
2.3362,1.6190,0.3000
2.0025,1.6190,0.2000
2.0025,1.7143,0.2000
2.0025,1.8095,0.2000
2.0025,1.9048,0.2000
1.6687,0.0952,0.5000
2.3362,0.0952,0.5000
1.6687,0.0952,0.7000
2.3362,0.0952,0.7000
2.0025,0.0952,0.6000
2.0025,0.1905,0.6000
2.0025,0.2857,0.6000
2.0025,0.3810,0.6000
1.6687,0.4762,0.5000
2.3362,0.4762,0.5000
1.6687,0.4762,0.7000
2.3362,0.4762,0.7000
2.0025,0.4762,0.6000
2.0025,0.5714,0.6000
2.0025,0.6667,0.6000
2.0025,0.7619,0.6000
1.6687,0.8571,0.5000
2.3362,0.8571,0.5000
1.6687,0.8571,0.7000
2.3362,0.8571,0.7000
2.0025,0.8571,0.6000
2.0025,0.9524,0.6000
2.0025,1.0476,0.6000
2.0025,1.1429,0.6000
1.6687,1.2381,0.5000
2.3362,1.2381,0.5000
1.6687,1.2381,0.7000
2.3362,1.2381,0.7000
2.0025,1.2381,0.6000
2.0025,1.3333,0.6000
2.0025,1.4286,0.6000
2.0025,1.5238,0.6000
1.6687,1.6190,0.5000
2.3362,1.6190,0.5000
1.6687,1.6190,0.7000
2.3362,1.6190,0.7000
2.0025,1.6190,0.6000
2.0025,1.7143,0.6000
2.0025,1.8095,0.6000
2.0025,1.9048,0.6000
END_WITNESS_POINTS
